,CONCEPT,Ambai (Yapen) [amk],Araki [akr],As [asz],Bierebo (Yevali) [bnk],Biga (Misool) [xmt],Buli [bzq],Futuna-Aniwa (Aniwa) [fut],Gimán [gzn],Irarutu [irh],Kasira (Irahutu) [irh],Lelepa [lpa],Maskelynes [klv],Minyaifuin (Gebe) [gei],Numfor [bhw],Paama (Lironesa) [pma],Pulau (Arguni) [agf],Roria [rga],Vao [vao],Waropen [wrp],Windesi Wandamen [wad]
83,narrow,katui,,,tekaki,manapa sapɔ,kos,sisi,nakota,sesut,frifre-te,,i-maᵑkukun,,fios,ein,,,mokok,,kotar
84,near,kefa,,galis,kileβis,mirin,las,tata,dekin,nbabr,nəbəbabəre,mlatiŋ,,las,fanam,βesesal,tanaten,,,awora,ariasi
85,neck,kanaŋ,wa-ku,-akɔ,koᵑgie-ᵑgu,geli- kabayo,wao,penawa,koku,drbon,dərbunə,na-pʷo-ŋu,na-xeloa-ᵑk,kɔkɔ,sasu[ri],hiri-k,one-,ⁿdolo-,ᵐbulaɣahu-k,doa,rau
86,needle,,,,,,paplaki,,laim,raini,,,,,ret,,,,,rete,ret
87,new,vevoru,,gɛlaɔ,wuru-βiu,galawaɔ,po,fou,pou,bunat,bunate,fau,βeβeu,galawau,babo,hetihao,popʷaro,ᵐbarᵐbar,moruᵐbar,woa,vavoru
88,night,diru,čočo,up,poŋiena,kadbat,dòram,tapo,bakomu,gisie,gənite,pʷoŋ,nalimariᵑku,op,rob,βoŋien,magagev,ᵐboᵐbor,utaᵐboŋ,yana,diru
89,"no, not",kaha,,-ga,marare,sapɔ,pene,čemra,tesin,=ti,fərati,etik,,ɛnpa,ba,toβuol,afe,,,[wo]mo,moyar
90,nose,ube-,ŋalsu-ku,-samu,kunu-ᵑgu,senu-,guguo,eisu,usnu,wegur,-wegurə,na-ŋsu-ŋu,na-xunusu-ᵑk,kahñə-k,sno[ri],fuli-ŋaso-ku,asigo-,nalsu-,ŋohəri-k,niabo,suo
91,old,,ruai,,wuru-mæruwa,,leo,tuai,tua,nabrid,,tuei,matu,,-sar,hetimatu,,βares,mo-tue,,masa
92,other,siai,,nsa,ⁿdolu,matfasayo,nēsa,čera,lomu,,nenote,tetea,kaleβistile,tepa,wesĕ,keil,firisia,eskar,,ohia,esi[a]
93,"painful, sick",meninaŋ,,,meña,bihi,pisi,maki,culum,ndridn,dəri-d[ə]nə,msak,mesax,-pisi,duf,mesai,tari-ga-movi,rontˢ,mo-ros,totonako,pota
94,person/human being,inonturai,,miʔ,yoru,matumolo,smat,taŋata,manusia,matu,matu,natamʷol,neβanuan,ñat,kaw|asa,mʷeatin,misier,tamlus-laβul,tamalo,nuŋgu,siniotu
95,rain,meta,usa,maiʔ,yuwa,dim,ulan,ua,ulan,sem,sie-mə,usa,na-us,miliɛ,mekĕm,ous,umun,nuso,na-uhe,dora,rama
96,rat,karu,hariβi,,kawe,kalof,luf,kimo,luf,sfe,səfe,kusua,ne-xasu,safsɛf,robēfrar,asu,adombar,ɣirið,ɣariv̈,afuno,waŋgar
97,red,berika,xaxara,təlami,piliβili,mame,kakalā,toura,mikoat,wams,waməse,mila,bisiᵐbis,kasñala,rik,βihili,kasumbe,mə-ᵑgar,mo-m̈em̈e,regharo,urar
98,right,moya,lim̈a marua-ku,pa-lfi,mərua,palafi,wela,matau,awoyan,tu,tu,matua,ni-matu,palpal|cu,kaku,matu,pararare,ančeⁿd,matu,ghanano,watan
99,road/path,raŋ,sala,alin,moroᵑge,tag,laliŋ,retu,lolan,rarn,radeni,na-pua,na-pisal,yefen,nĕyan,sise,rarin,sal,na-hal,rarado,ran
100,root,newa,xuari,kɛtɛ,pias,kawatɔ,wā,aka,wolu,war,warkrikre,na-koa,ne-xarxete,ka|wao,rarĕs,lite,dare,ɣaran,xoarnaneɣe,wai,war
101,rope,wai,asi,waliʔ,kilika,wili,wala,wawa,kapiloan,wara,wara,n-tali,ne-xau,wala,rabrab,βiao,warir,βuɣes,nueh,sera,vavi
102,rotten,piso,,makam,menunu,fase,pepē,popo,puík,rumir,numi-rə,mata,i-mom,puno,pokĕm,eβu,miaʔo,nuᵐbuɣ,mo-momo,bu,pasua
103,salt,ai,rasi,gasi,,lesen,gasi,čiafi,myasing,terir,te,,,gasi,masĕn,atas,sire|r,,,,sasi-tarai
104,sand,ninuai,ɔnon,in,ñ-one,lɛn,ñiñēn,one,minyana,enjefu,inneñevo,na-kirkirkik,na-ᵐbion,miñen,[ka]yen,βoien,ain,monβusβus,taᵐbaŋ-naon,nafa,rubua[n]
105,sea,ravana,rasi,masin,si,wulut,olat,tai,wolat,werfun,were fune,n-tas,ni-tas,galgelet,swān,a-tas,fayoret,tas,ne-teh,rau,rau
106,sharp,reisa,,talim,ma·li,mañanam,mdalim,emtakoi,magamin,mdedan,matadane,mkali,i-kan,myaŋan,sār,kan,mijarum,ɣat,mo-βor,kamuko,rebuo
107,short,tana,,kabu,,kup,kokopē,,katobat,fut,kəfutə,,,kapoto,kwaïmba,,tam...,,,kamuto,tanam
